用例编号,年,月,日,预计输出日期,备注
1,1990,6,16,输入不合法,
2,2000,6,16,2000.6.17,
3,2001,6,16,2001.6.17,
4,2040,6,16,2040.6.17,
5,2095,6,16,2095.6.17,
6,2100,6,16,2100.6.17,
7,2101,6,16,2101.6.17,
8,2040,-1,16,输入不合法,
9,2040,0,16,输入不合法,
10,2040,1,16,2040.1.17,
11,2040,2,16,2040.2.17,
12,2040,11,16,2040.11.17,
13,2040,12,16,2040.12.17,
14,2040,13,16,输入不合法,
15,2040,6,-1,输入不合法,
16,2040,6,0,输入不合法,
17,2040,6,1,2040.6.2,
18,2040,6,2,2040.6.3,
19,2040,6,29,2040.6.30,
20,2040,6,31,输入不合法,
21,2040,6,32,输入不合法,
22,2040,6,30,2040.7.1,月末测试
23,2040,7,31,2040.8.1,月末测试
24,2040,12,31,2041.1.1,年末测试
25,2040,2,28,2040.2.29,闰日测试
26,2040,2,29,2040.3.1,闰日测试
27,2001,2,30,输入不合法,闰日测试
28,2005,2,29,输入不合法,闰日测试
