用例编号,年,月,日,预计输出日期,备注
1,2024,2,14,2024.2.15,
2,2024,2,28,2024.2.29,
3,2024,2,29,2024.3.1,
4,2024,2,30,输入不合法,
5,2024,2,31,输入不合法,
6,2024,12,14,2024.12.15,
7,2024,12,28,2024.12.29,
8,2024,12,29,2024.12.30,
9,2024,12,30,2024.12.31,
10,2024,12,31,2025.1.1,
11,2024,5,14,2024.5.15,
12,2024,5,28,2024.5.29,
13,2024,5,29,2024.5.30,
14,2024,5,30,2024.5.31,
15,2024,5,31,2024.6.1,
16,2024,6,14,2024.6.15,
17,2024,6,28,2024.6.29,
18,2024,6,29,2024.6.30,
19,2024,6,30,2024.7.1,
20,2024,6,31,输入不合法,
21,2400,2,14,2400.2.15,
22,2400,2,28,2400.2.29,
23,2400,2,29,2400.3.1,
24,2400,2,30,输入不合法,
25,2400,2,31,输入不合法,
26,2400,12,14,2400.12.15,
27,2400,12,28,2400.12.29,
28,2400,12,29,2400.12.30,
29,2400,12,30,2400.12.31,
30,2400,12,31,2401.1.1,
31,2400,5,14,2400.5.15,
32,2400,5,28,2400.5.29,
33,2400,5,29,2400.5.30,
34,2400,5,30,2400.5.31,
35,2400,5,31,2400.6.1,
36,2400,6,14,2400.6.15,
37,2400,6,28,2400.6.29,
38,2400,6,29,2400.6.30,
39,2400,6,30,2400.7.1,
40,2400,6,31,输入不合法,
41,2401,2,14,2401.2.15,
42,2401,2,28,2401.3.1,
43,2401,2,29,输入不合法,
44,2401,2,30,输入不合法,
45,2401,2,31,输入不合法,
46,2401,12,14,2401.12.15,
47,2401,12,28,2401.12.29,
48,2401,12,29,2401.12.30,
49,2401,12,30,2401.12.31,
50,2401,12,31,2402.1.1,
51,2401,5,14,2041.5.15,
52,2401,5,28,2041.5.29,
53,2401,5,29,2041.5.30,
54,2401,5,30,2041.5.31,
55,2401,5,31,2041.6.1,
56,2401,6,14,2041.6.15,
57,2401,6,28,2041.6.29,
58,2401,6,29,2041.6.30,
59,2401,6,30,2041.7.1,
60,2401,6,31,输入不合法,
